transaction_id,sender_id,receiver_id,amount,timestamp
TX_001502,ACC_RAND_59,ACC_RAND_87,962.69,2025-02-01 08:27:00
TX_002587,ACC_RAND_87,ACC_RAND_162,225.98,2025-01-07 21:14:00
TX_002654,ACC_RAND_209,ACC_RAND_370,1033.23,2025-01-06 08:24:00
TX_001056,ACC_RAND_125,ACC_RAND_26,655.46,2025-01-10 22:59:00
TX_000706,ACC_RAND_11,ACC_RAND_245,1371.86,2025-02-10 05:10:00
TX_000107,ACC_RAND_284,ACC_RAND_497,570.97,2025-01-06 06:18:00
TX_000590,ACC_RAND_105,ACC_RAND_8,877.63,2025-02-23 19:35:00
TX_002469,ACC_RAND_308,ACC_RAND_264,182.61,2025-01-15 15:56:00
TX_002414,ACC_RAND_226,ACC_RAND_176,1316.82,2025-01-15 01:39:00
TX_001601,ACC_RAND_290,ACC_RAND_408,523.23,2025-01-27 07:22:00
TX_002465,ACC_RAND_382,ACC_RAND_481,1193.64,2025-02-06 01:56:00
TX_000229,ACC_RAND_84,ACC_RAND_279,600.21,2025-02-08 22:26:00
TX_000916,ACC_MULE_5,ACC_RAND_158,987.01,2025-02-17 00:19:00
TX_000795,ACC_RAND_191,ACC_RAND_105,225.35,2025-01-30 07:00:00
TX_003022,ACC_RAND_182,ACC_RAND_1,1337.59,2025-01-12 22:57:00
TX_003544,ACC_RAND_380,ACC_RAND_241,437.72,2025-01-03 05:33:00
TX_001074,ACC_RAND_251,ACC_RAND_30,316.07,2025-01-06 03:47:00
TX_003352,ACC_RAND_212,ACC_RAND_436,1079.73,2025-02-03 20:33:00
TX_001745,ACC_RAND_159,ACC_RAND_309,1016.27,2025-03-01 08:51:00
TX_001085,ACC_RAND_18,ACC_RAND_492,819.77,2025-01-09 22:56:00
TX_000927,ACC_RAND_457,ACC_RAND_365,930.01,2025-02-16 05:51:00
TX_003050,ACC_RAND_434,ACC_RAND_320,102.37,2025-02-23 15:26:00
TX_001118,ACC_RAND_362,ACC_RAND_292,145.03,2025-01-03 12:53:00
TX_000643,ACC_RAND_312,ACC_SHELL_SRC,902.83,2025-01-30 18:23:00
TX_004768,ACC_RAND_30,ACC_RAND_228,416.24,2025-01-30 00:48:00
TX_000502,ACC_RAND_80,ACC_RAND_382,711.8,2025-01-04 13:14:00
TX_004067,ACC_RAND_257,ACC_RAND_246,920.92,2025-02-06 08:20:00
TX_000334,ACC_RAND_363,ACC_RAND_271,475.61,2025-01-16 16:35:00
TX_004685,ACC_A,ACC_RAND_370,1053.13,2025-01-05 20:17:00
TX_000487,ACC_RAND_15,ACC_RAND_269,995.56,2025-03-02 20:32:00
TX_001963,ACC_RAND_292,ACC_RAND_319,968.18,2025-01-03 16:26:00
TX_000394,ACC_RAND_141,ACC_RAND_237,173.0,2025-01-15 00:29:00
TX_004843,ACC_RAND_491,ACC_RAND_398,905.95,2025-01-18 06:05:00
TX_004867,ACC_RAND_447,ACC_RAND_245,355.35,2025-03-01 04:39:00
TX_001756,ACC_RAND_470,ACC_RAND_284,161.9,2025-02-03 00:13:00
TX_002516,ACC_RAND_71,ACC_RAND_79,2092.44,2025-02-24 08:15:00
TX_003586,ACC_RAND_455,ACC_RAND_342,810.95,2025-03-01 03:38:00
TX_004316,ACC_RAND_79,ACC_RAND_397,946.0,2025-02-10 21:14:00
TX_004967,ACC_RAND_154,ACC_RAND_243,953.01,2025-01-24 20:18:00
TX_002100,ACC_RAND_85,ACC_RAND_98,661.99,2025-02-09 11:15:00
TX_003600,ACC_RAND_473,ACC_RAND_144,696.57,2025-01-09 19:44:00
TX_004122,ACC_RAND_456,ACC_RAND_226,984.99,2025-02-21 12:31:00
TX_000030,ACC_Z,ACC_X,185.08,2025-01-06 08:20:00
TX_000066,ACC_RAND_499,ACC_RAND_159,281.66,2025-01-05 02:47:00
TX_000839,ACC_RAND_157,ACC_RAND_52,1333.29,2025-01-30 03:36:00
TX_003907,ACC_SHELL_1,ACC_RAND_215,110.44,2025-01-05 17:56:00
TX_003774,ACC_RAND_440,ACC_RAND_273,1169.2,2025-02-07 11:00:00
TX_004636,ACC_E,ACC_RAND_84,1283.08,2025-01-13 09:22:00
TX_003162,ACC_RAND_71,ACC_RAND_361,1328.68,2025-02-01 20:17:00
TX_002660,ACC_RAND_199,ACC_RAND_351,583.74,2025-02-13 01:47:00
TX_004616,ACC_RAND_405,ACC_RAND_51,424.68,2025-01-26 02:14:00
TX_004629,ACC_RAND_306,ACC_RAND_197,966.07,2025-01-06 08:26:00
TX_002452,ACC_RAND_444,ACC_RAND_80,628.99,2025-02-03 01:30:00
TX_002847,ACC_RAND_59,ACC_RAND_273,580.88,2025-01-20 18:40:00
TX_001145,ACC_RAND_400,ACC_RAND_242,1041.12,2025-01-07 13:13:00
TX_003079,ACC_RAND_208,ACC_RAND_122,178.29,2025-01-04 19:25:00
TX_001104,ACC_RAND_405,ACC_RAND_411,1333.86,2025-02-17 13:04:00
TX_000169,ACC_RAND_387,ACC_RAND_467,1679.99,2025-02-14 15:36:00
TX_001671,ACC_RAND_66,ACC_RAND_461,89.63,2025-02-02 16:37:00
TX_002571,ACC_RAND_234,ACC_RAND_442,964.9,2025-01-05 11:36:00
TX_002378,ACC_RAND_433,ACC_RAND_69,283.73,2025-03-03 05:22:00
TX_004396,ACC_RAND_193,ACC_RAND_277,360.72,2025-01-21 05:33:00
TX_004258,ACC_RAND_224,ACC_RAND_258,978.73,2025-02-16 21:38:00
TX_003863,ACC_RAND_326,ACC_RAND_44,541.69,2025-02-19 20:48:00
TX_000024,ACC_MULE_12,ACC_HERDER,193.29,2025-01-04 18:00:00
TX_002634,ACC_RAND_145,ACC_RAND_105,739.91,2025-01-31 00:29:00
TX_003341,ACC_RAND_264,ACC_RAND_386,728.13,2025-02-27 18:03:00
TX_002216,ACC_RAND_295,ACC_RAND_165,1010.63,2025-01-04 11:43:00
TX_003683,ACC_RAND_48,ACC_RAND_118,1130.83,2025-01-10 21:40:00
TX_004725,ACC_RAND_173,ACC_RAND_171,1082.17,2025-02-17 17:29:00
TX_001908,ACC_RAND_284,ACC_RAND_485,74.12,2025-01-15 14:05:00
TX_000085,ACC_RAND_423,ACC_RAND_26,983.86,2025-02-20 21:51:00
TX_000228,ACC_RAND_333,ACC_RAND_87,800.98,2025-02-19 03:03:00
TX_000297,ACC_RAND_67,ACC_RAND_298,1517.35,2025-02-16 06:59:00
TX_001002,ACC_RAND_226,ACC_RAND_65,916.37,2025-02-22 07:43:00
TX_002139,ACC_RAND_300,ACC_RAND_423,1215.02,2025-02-24 16:22:00
TX_000712,ACC_RAND_270,ACC_RAND_179,520.94,2025-02-08 04:57:00
TX_002802,ACC_RAND_472,ACC_RAND_69,999.76,2025-01-15 07:36:00
TX_002528,ACC_RAND_138,ACC_RAND_99,832.75,2025-01-09 02:08:00
TX_003753,ACC_RAND_330,ACC_RAND_162,619.62,2025-02-27 20:18:00
TX_003322,ACC_RAND_176,ACC_RAND_186,569.42,2025-02-13 19:08:00
TX_003182,ACC_RAND_277,ACC_RAND_103,190.48,2025-01-02 02:28:00
TX_004184,ACC_RAND_304,ACC_RAND_42,1004.08,2025-01-26 00:54:00
TX_001616,ACC_RAND_385,ACC_RAND_163,1107.26,2025-01-15 20:55:00
TX_003025,ACC_RAND_188,ACC_RAND_356,1674.89,2025-02-14 02:16:00
TX_001414,ACC_RAND_384,ACC_D,571.94,2025-01-27 07:23:00
TX_000764,ACC_RAND_243,ACC_RAND_276,804.7,2025-01-24 13:31:00
TX_000656,ACC_RAND_322,ACC_RAND_223,691.82,2025-01-20 05:22:00
