transaction_id,sender_id,receiver_id,amount,timestamp
TX_001,ACC_A,ACC_B,1000.0,2025-01-01 10:00:00
TX_002,ACC_B,ACC_C,950.0,2025-01-01 10:30:00
TX_003,ACC_C,ACC_A,900.0,2025-01-01 11:00:00
TX_004,ACC_MULE_1,ACC_HERDER,500.0,2025-01-02 09:00:00
TX_005,ACC_MULE_2,ACC_HERDER,500.0,2025-01-02 09:05:00
TX_006,ACC_MULE_3,ACC_HERDER,500.0,2025-01-02 09:10:00
TX_007,ACC_MULE_4,ACC_HERDER,500.0,2025-01-02 09:15:00
TX_008,ACC_MULE_5,ACC_HERDER,500.0,2025-01-02 09:20:00
TX_009,ACC_MULE_6,ACC_HERDER,500.0,2025-01-02 09:25:00
TX_010,ACC_MULE_7,ACC_HERDER,500.0,2025-01-02 09:30:00
TX_011,ACC_MULE_8,ACC_HERDER,500.0,2025-01-02 09:35:00
TX_012,ACC_MULE_9,ACC_HERDER,500.0,2025-01-02 09:40:00
TX_013,ACC_MULE_10,ACC_HERDER,500.0,2025-01-02 09:45:00
TX_014,ACC_SHELL_SRC,ACC_SHELL_1,200.0,2025-01-03 10:00:00
TX_015,ACC_SHELL_1,ACC_SHELL_2,190.0,2025-01-03 11:00:00
TX_016,ACC_SHELL_2,ACC_SHELL_DST,180.0,2025-01-03 12:00:00
